localidade,valor_inicio_taxa_por_100_nascidos_vivos_sus,valor_2024_taxa_por_100_nascidos_vivos_sus,mann_kendal_z_taxa_por_100_nascidos_vivos_sus,mann_kendal_p_taxa_por_100_nascidos_vivos_sus,valor_inicio_taxa_por_100_nascidos_vivos_saude_suplementar,valor_2024_taxa_por_100_nascidos_vivos_saude_suplementar,mann_kendal_z_taxa_por_100_nascidos_vivos_saude_suplementar,mann_kendal_p_taxa_por_100_nascidos_vivos_saude_suplementar
Brasil,20.7,17.2,-3.426,< 0.001,15.2,13.1,-0.255,0.79897
Acre,31.6,30.4,-1.073,0.283,3.2,2.9,-0.997,0.31857
Alagoas,26.8,15.4,-3.323,< 0.001,13,8.7,-0.249,0.80309
Amapá,42.9,27.8,-2.963,0.003,7.9,3.3,-2.494,0.01265
Amazonas,16.3,19.2,-1.073,0.283,3,2.9,-0.371,0.71052
Bahia,28.9,23.6,-2.862,0.004,13.1,6.9,-1.113,0.26551
Ceará,27.8,21.5,-3.502,< 0.001,14,9.9,0,1
Distrito Federal,0.9,16.2,1.789,0.074,12.6,14.9,1.361,0.17355
Espírito Santo,18.9,15.6,-3.246,0.001,23.6,12.2,-2.494,0.01265
Goiás,14.2,12.1,-2.245,0.025,14.8,13.3,0.371,0.71052
Maranhão,20.1,24.6,0.808,0.419,5.6,7.1,1.856,0.06349
Mato Grosso,13.6,12.8,0.902,0.367,11.8,14.1,1.745,0.0809
Mato Grosso do Sul,14.9,12.1,-2.784,0.005,12.5,15.7,1.856,0.06349
Minas Gerais,23.3,15.4,-3.399,< 0.001,19.2,16.8,-2.244,0.02482
Paraná,12.9,10.3,-2.188,0.029,15.1,14.7,0.866,0.38648
Paraíba,28.3,19.5,-2.326,0.02,13.7,12.5,0,1
Pará,20.1,18.9,-0.629,0.53,4.8,4.6,0,1
Pernambuco,27.1,22.2,-3.399,< 0.001,10.6,6.2,-1.361,0.17355
Piauí,21,20,-1.968,0.049,13.2,8.5,-0.371,0.71052
Rio Grande do Norte,28.1,18.6,-2.504,0.012,14.6,13.6,0,1
Rio Grande do Sul,14.2,13.1,-1.443,0.149,6.1,8.2,2.494,0.01265
Rio de Janeiro,22.8,20,-0.988,0.323,18.6,16.7,-1.247,0.21249
Rondônia,25.6,20.3,-2.862,0.004,13.2,8.9,-1.856,0.06349
Roraima,39.2,11.9,-3.041,0.002,3.3,2.6,-0.124,0.90154
Santa Catarina,14.6,13.9,-1.789,0.074,12.8,15.9,1.856,0.06349
Sergipe,37.6,21,-3.578,< 0.001,12.6,7.9,-0.619,0.53619000000000006
São Paulo,17.6,15,-3.502,< 0.001,23.8,20.8,-0.748,0.45443
Tocantins,31.3,15.9,-2.862,0.004,5,9.2,1.856,0.06349
